PROCESS ID	ARRIVAL TIME	CPU BURST
0		0		11
1		1		2
2		1		12
3		2		20
4		2		10
5		3		13
6		6		10
7		6		17
8		7		15
9		8		5
10		9		12
11		10		14
12		11		5
13		12		19
14		15		5
15		15		3
16		15		15
17		16		7
18		18		1
19		18		11
20		18		12
21		18		5
22		19		8
23		19		4
24		21		6
25		21		4
26		21		7
27		21		13
28		21		12
29		24		1
30		24		19
31		25		11
32		25		11
33		27		11
34		27		7
35		27		20
36		29		7
37		31		3
38		35		4
39		36		6
40		36		20
41		36		2
42		36		11
43		36		10
44		36		19
45		37		14
46		37		7
47		39		20
48		39		8
49		43		1
50		44		1
51		45		14
52		45		19
53		45		19
54		45		16
55		46		6
56		49		18
57		49		6
58		49		13
59		50		3
60		50		10
61		51		4
62		51		19
63		56		2
64		57		13
65		57		10
66		59		18
67		59		19
68		63		9
69		64		13
70		65		10
71		65		16
72		66		7
73		66		7
74		66		18
75		66		6
76		71		6
77		72		5
78		72		17
79		73		9
80		73		8
81		73		14
82		73		10
83		73		6
84		73		15
85		73		16
86		73		15
87		73		5
88		73		8
89		75		14
90		75		8
91		77		10
92		77		3
93		77		18
94		77		13
95		77		18
96		77		6
97		78		6
98		79		16
99		80		13
